Title,Description
The Midnight Library,"Between life and death there is a library, and within that library, the shelves go on forever."
Project Hail Mary,"A lone astronaut wakes up in a spaceship, alone and with no memory of how he got there, tasked to save humanity."
The Invisible Life of Addie LaRue,"In a deal with the devil, Addie gains immortality but is cursed to be forgotten by everyone she meets."
The Song of Achilles,"A retelling of the Iliad through the eyes of Patroclus, exploring love and loss."
Circe,"The story of the enchantress Circe from Greek mythology, weaving magic, betrayal, and destiny."
Klara and the Sun,An Artificial Friend named Klara observes the world as she waits to be chosen by a human.
Mexican Gothic,A young woman travels to a remote mansion in Mexico to save her cousin from mysterious and sinister forces.
A Court of Thorns and Roses,"A huntress is taken to a magical kingdom as retribution for killing a fae, leading her into a world of love and danger."
Malibu Rising,"Four famous siblings throw an epic party to celebrate the end of summer, but family secrets threaten to surface."
Daisy Jones & The Six,"The rise and fall of a 1970s rock band, told through interviews with the band members and those who knew them."
The House in the Cerulean Sea,A caseworker is sent to evaluate a magical orphanage that harbors six dangerous children.
Beach Read,"Two authors with writer’s block swap genres during a summer by the lake, leading to unexpected romance."
Verity,A struggling writer uncovers a disturbing manuscript while working on a bestselling author’s unfinished novel.
It Ends With Us,"A young woman navigates love, heartbreak, and self-discovery in this powerful contemporary romance."
Where the Crawdads Sing,A young girl grows up isolated in the marshes and becomes a suspect in a murder case.
People We Meet on Vacation,Two best friends reconnect over a summer trip to explore whether friendship can turn into something more.
The Seven Husbands of Evelyn Hugo,A reclusive Hollywood icon recounts her glamorous and scandalous life to a young journalist.
Before We Were Strangers,"Two college sweethearts reconnect after 15 years, rediscovering love and their shared past."
The Light We Lost,"A story of two lovers torn apart by ambition and tragedy, exploring the meaning of fate and sacrifice."
The Paper Palace,A woman spends a summer day reflecting on her past and the choices that will define her future.
